,city name,temp,wind speed,country,cloudiness,humidity,longitude,latitiude,date
228,Alofi,80.6,10.29,NU,3,94,-169.92,-19.06,1578283900
229,Victoria,87.8,5.82,BN,75,58,115.24,5.28,1578284295
230,Saint-Denis,37.4,4.7,FR,0,86,2.36,48.94,1578284296
231,Dehloran,49.3,0.83,IR,0,56,47.27,32.69,1578284296
232,Sangar,-5.15,12.53,RU,99,88,127.47,63.92,1578284296
233,Namibe,72.82,10.18,AO,68,87,12.15,-15.19,1578283808
234,Riedlingen,33.01,5.82,DE,13,92,9.47,48.15,1578284297
235,Bara,59.81,5.86,NG,71,39,10.6,10.41,1578284297
236,Half Moon Bay,52.0,12.75,US,75,93,-122.43,37.46,1578284297
237,Caravelas,71.42,5.68,BR,100,94,-39.27,-17.73,1578283828
238,Khargone,58.19,9.19,IN,0,56,75.61,21.82,1578284298
239,Zhangye,25.43,2.55,CN,100,48,100.46,38.94,1578284298
240,Hambantota,82.4,10.29,LK,20,88,81.12,6.12,1578283802
241,Weimar,39.99,3.36,DE,75,86,11.33,50.98,1578284299
242,Novokruchininskiy,-2.2,2.93,RU,0,84,113.77,51.78,1578284299
243,Guerrero Negro,63.05,7.16,MX,83,50,-114.04,27.97,1578284299
244,Aleksandrov Gay,29.14,7.23,RU,99,95,48.57,50.14,1578284300
245,Kuala Terengganu,79.34,9.04,MY,94,78,103.14,5.33,1578284109
246,Verkhnetulomskiy,1.4,2.24,RU,75,84,31.8,68.61,1578284300
247,Puerto Colombia,79.0,12.75,CO,20,83,-74.96,10.99,1578284300
248,Huilong,47.91,3.06,CN,100,82,106.5,31.15,1578284301
249,Clyde River,-38.2,16.11,CA,1,52,-68.59,70.47,1578284301
250,Marabba,58.95,9.17,SD,17,16,32.18,12.35,1578284301
251,Taltal,61.41,1.39,CL,0,80,-70.49,-25.41,1578284302
252,Karakulino,15.87,5.5,RU,67,94,53.71,56.01,1578284302
253,Saint-Georges,12.99,1.01,CA,100,86,-70.67,46.12,1578284302
254,Yangambi,67.96,1.92,CD,100,94,24.47,0.77,1578283781
255,Itarema,77.0,4.32,BR,43,94,-39.92,-2.92,1578283896
256,Dubbo,98.6,16.11,AU,100,22,148.6,-32.25,1578283793
257,Huarmey,68.61,2.15,PE,38,79,-78.15,-10.07,1578283769
258,Iwanai,28.6,14.76,JP,99,66,140.51,42.97,1578283824
